name,Total
Algeria,1
Australia,2
Austria,1
Bahamas,1
Bangladesh,34
Belarus,2
Belgium,1
Benin,1
Botswana,2
Brazil,3
Cameroon,1
Canada,7
China,57
Egypt,2
Ethiopia,3
Gambia,3
Germany,2
Ghana,100
Guinea,1
India,504
Israel,1
Italy,1
Jamaica,1
Japan,1
Jordan,2
Kazakhstan,1
Kenya,13
Kuwait,1
Lebanon,1
Lesotho,1
Liberia,1
Malawi,1
Mexico,2
Morocco,1
Mozambique,1
Nepal,10
Netherlands,4
Nigeria,121
Norway,2
Oman,1
Pakistan,43
Paraguay,7
Philippines,1
Rwanda,1
Saudi Arabia,6
Sierra Leone,3
Singapore,1
Somalia,1
South Africa,2
South Sudan,1
Spain,2
Sri Lanka,3
Turkey,10
United Arab Emirates,7
United States of America,952
Uzbekistan,4
Zambia,2
Zimbabwe,6
Saint Kitts and Nevis,1
Syrian Arab Republic,1
Trinidad and Tobago,2
Iran (Islamic Republic of),25
Republic of Korea,7
U.K. of Great Britain and Northern Ireland,18
Taiwan,7
