City,Total
Aberdeen Township,3
Absecon City,2
Allendale Borough,1
Asbury Park City,3
Atlantic City,5
Atlantic Highlands Borough,1
Audubon Borough,8
Barrington Borough,6
Bayonne City,2
Beachwood Borough,1
Bellmawr Borough,17
Bergenfield Borough,2
Berlin Borough,34
Berlin Township,7
Beverly City,3
Blairstown Township,1
Bordentown City,2
Branchburg Township,2
Bridgeton City,12
Bridgewater Township,1
Brigantine City,3
Buena Borough,1
Burlington City,25
Burlington Township,1
Camden City,134
Cape May City,1
Carneys Point Township,3
Cherry Hill Township,100
Cinnaminson Township,17
Clayton Borough,6
Clementon Borough,24
Clifton City,1
Collingswood Borough,14
Cranford Township,1
Delanco Township,5
Delran Township,16
Demarest Borough,1
Dennis Township,1
Denville Township,1
Deptford Township,6
East Brunswick Township,4
East Greenwich Township,6
East Windsor Township,1
Eastampton Township,1
Eatontown Borough,1
Edgewater Park Township,3
Edison Township,7
Egg Harbor City,3
Egg Harbor Township,24
Elizabeth City,2
Englewood City,1
Englishtown Borough,1
Evesham Township,30
Ewing Township,4
Fair Haven Borough,1
Fair Lawn Borough,1
Fairfield Township,1
Farmingdale Borough,2
Fieldsboro Borough,1
Florence Township,6
Florham Park Borough,1
Fort Lee Borough,1
Franklin Township,7
Franklin Township (Gloucester),2
Freehold Borough,4
Galloway Township,5
Garwood Borough,1
Gibbsboro Borough,2
Glassboro Borough,8
Gloucester City,16
Gloucester Township,113
Greenwich Township,3
Hackettstown Town,1
Haddon Heights Borough,7
Haddon Township,14
Haddonfield Borough,6
Hainesport Township,2
Hamilton Township,22
Hammonton Town,6
Harrison Township,4
Hazlet Township,1
High Bridge Borough,1
Highland Park Borough,3
Hi-Nella Borough,1
Hoboken City,1
Holmdel Township,2
Howell Township,5
Irvington Township,1
Jackson Township,8
Jersey City,2
Keansburg Borough,1
Lacey Township,2
Lakewood Township,1
Laurel Springs Borough,3
Lawrence Township,3
Lindenwold Borough,20
Little Egg Harbor Township,1
Livingston Township,1
Logan Township,2
Long Branch City,3
Lower Township,3
Lumberton Township,7
Magnolia Borough,10
Manalapan Township,2
Manasquan Borough,1
Mansfield Township,1
Mantua Township,27
Manville Borough,1
Maple Shade Township,19
Maplewood Township,1
Margate City,2
Marlboro Township,7
Matawan Borough,1
Medford Township,11
Mendham Borough,1
Merchantville Borough,12
Middle Township,6
Middletown Township,5
Milford Borough,1
Millstone Township,2
Millville City,2
Monroe Township,24
Montclair Township,4
Moorestown Township,6
Morris Plains Borough,1
Mount Ephraim Borough,2
Mount Holly Township,6
Mount Laurel Township,27
National Park Borough,2
Neptune City Borough,1
Neptune Township,2
New Brunswick City,9
New Providence Borough,1
Newark City,10
North Brunswick Township,6
North Haledon Borough,1
North Plainfield Borough,1
North Wildwood City,1
Northfield City,2
Oakland Borough,1
Oaklyn Borough,13
Ocean City,1
Ocean Township,1
Old Bridge Township,1
Oldmans Township,1
Palmyra Borough,4
Parsippany-Troy Hills Township,1
Passaic City,1
Paterson City,1
Paulsboro Borough,1
Pemberton Borough,1
Pemberton Township,5
Penns Grove Borough,1
Pennsauken Township,98
Pennsville Township,4
Perth Amboy City,4
Pine Hill Borough,8
Piscataway Township,5
Pitman Borough,6
Pittsgrove Township,1
Plainfield City,5
Pleasantville City,7
Pompton Lakes Borough,1
Princeton,4
Rahway City,1
Randolph Township,1
Red Bank Borough,5
Ridgefield Park Village,1
Riverside Township,4
Riverton Borough,4
Robbinsville Township,2
Rockaway Township,1
Roselle Borough,3
Rumson Borough,1
Runnemede Borough,10
Salem City,3
Sayreville Borough,8
Secaucus Town,1
Shamong Township,1
Somerdale Borough,8
Somers Point City,1
South Amboy City,1
South Brunswick Township,4
South Plainfield Borough,3
South River Borough,2
Southampton Township,4
Sparta Township,1
Stafford Township,1
Stratford Borough,10
Swedesboro Borough,10
Tabernacle Township,2
Teaneck Township,1
Toms River Township,3
Trenton City,7
Upper Freehold Township,2
Upper Pittsgrove Township,2
Upper Township,2
Ventnor City,1
Verona Township,1
Vineland City,14
Voorhees Township,39
Wall Township,1
Washington Township,9
Wenonah Borough,3
West Deptford Township,14
West Orange Township,2
West Windsor Township,1
Westampton Township,8
Westfield Town,1
Westville Borough,4
Weymouth Township,1
Wharton Borough,1
Wildwood City,3
Willingboro Township,28
Winslow Township,4
Woodbine Borough,1
Woodbridge Township,1
Woodbury City,12
Woodbury Heights Borough,3
Woodlynne Borough,3
Woodstown Borough,1
Woolwich Township,4
#N/A,1
Lawnside Borough,2
Wrightstown Borough,1
